iter	Passed	Remaining
965	19070	4619
966	19101	4602
967	19132	4585
968	19174	4570
969	19207	4554
970	19237	4536
971	19269	4519
972	19302	4503
973	19334	4486
974	19363	4468
975	19394	4451
976	19427	4434
977	19458	4417
978	19489	4399
979	19520	4382
980	19550	4364
981	19581	4347
982	19610	4329
983	19639	4311
984	19670	4293
985	19703	4276
986	19730	4257
987	19760	4240
988	19788	4221
989	19811	4202
990	19830	4182
991	19850	4162
992	19871	4142
993	19892	4122
994	19914	4102
995	19934	4082
996	19955	4063
997	19977	4043
998	19998	4023
999	20024	4004
1000	20053	3986
1001	20088	3969
1002	20127	3953
1003	20164	3936
1004	20196	3918
1005	20232	3901
1006	20272	3885
1007	20313	3869
1008	20349	3852
1009	20387	3835
1010	20424	3818
1011	20463	3801
1012	20507	3785
1013	20536	3767
1014	20564	3748
1015	20585	3728
1016	20608	3708
1017	20627	3687
1018	20648	3667
1019	20668	3647
1020	20688	3627
1021	20708	3606
1022	20728	3586
1023	20748	3566
1024	20769	3546
1025	20789	3525
1026	20809	3505
1027	20830	3485
1028	20851	3465
1029	20871	3444
1030	20891	3424
1031	20911	3404
1032	20930	3383
1033	20952	3363
1034	20972	3343
1035	20992	3323
1036	21012	3302
1037	21033	3282
1038	21054	3262
1039	21073	3242
1040	21093	3221
1041	21111	3201
1042	21131	3180
1043	21151	3160
1044	21171	3140
1045	21189	3119
1046	21209	3099
1047	21227	3078
1048	21247	3058
1049	21267	3038
1050	21286	3017
1051	21306	2997
1052	21325	2977
1053	21345	2956
1054	21366	2936
1055	21386	2916
1056	21405	2895
1057	21425	2875
1058	21444	2855
1059	21464	2834
1060	21484	2814
1061	21504	2794
1062	21525	2774
1063	21546	2754
1064	21566	2733
1065	21586	2713
1066	21607	2693
1067	21626	2672
1068	21646	2652
1069	21665	2632
1070	21685	2612
1071	21705	2591
1072	21724	2571
1073	21744	2551
1074	21765	2530
1075	21784	2510
1076	21803	2490
1077	21823	2469
1078	21841	2449
1079	21863	2429
1080	21883	2408
1081	21902	2388
1082	21922	2368
1083	21941	2347
1084	21962	2327
1085	21985	2307
1086	22005	2287
1087	22025	2267
1088	22046	2247
1089	22066	2226
1090	22087	2206
1091	22106	2186
1092	22125	2165
1093	22144	2145
1094	22164	2125
1095	22182	2104
1096	22201	2084
1097	22219	2064
1098	22238	2043
1099	22257	2023
1100	22276	2003
1101	22295	1982
1102	22314	1962
1103	22333	1942
1104	22352	1921
1105	22372	1901
1106	22392	1881
1107	22411	1860
1108	22429	1840
1109	22448	1820
1110	22468	1799
1111	22488	1779
1112	22507	1759
1113	22526	1739
1114	22545	1718
1115	22565	1698
1116	22583	1678
1117	22602	1657
1118	22621	1637
1119	22639	1617
1120	22659	1596
1121	22678	1576
1122	22696	1556
1123	22715	1535
1124	22734	1515
1125	22755	1495
1126	22774	1475
1127	22792	1454
1128	22815	1434
1129	22833	1414
1130	22852	1394
1131	22872	1373
1132	22890	1353
1133	22908	1333
1134	22927	1313
1135	22947	1292
1136	22967	1272
1137	22986	1252
1138	23006	1232
1139	23025	1211
1140	23043	1191
1141	23063	1171
1142	23083	1151
1143	23102	1130
1144	23121	1110
